obsid,calid,begin,end,duration,array phase,Power (maximum zenith normalised),Freq (centre MHz),best pointing ,SN,TOAs,notes,Toa command,download command,position command,opp command,Timing command,"""On"" pulses",To be used in paper?,
1163332336,1163363656,1163332343,1163332944,602,P2C,0.383,97.92,,,,,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1163332336 --begin 1163332343 --end 1163332944 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1163332336 --calid 1163363656 --begin 1163332343 --end 1163332944 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1163332336 --calid 1163363656 --beg 1163332343 --end 1163332944 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1163332336/1163332336_*_0001.fits --time_split --obsid 1163332336 ,,,
1164110416,1164140704,1164110423,1164113274,2852,P2C,0.388,154.24,,,,Lots of rfi that needs to be removed,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1164110416 --begin 1164110423 --end 1164113274 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1164110416 --calid 1164140704 --begin 1164110423 --end 1164113274 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1164110416 --calid 1164140704 --beg 1164110423 --end 1164113274 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1164110416/1164110416_*_0001.fits --time_split --obsid 1164110416 ,,,
1182630616,1182638312,1182635219,1182635776,558,P2C,0.34,154.24,,,,,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1182630616 --begin 1182635219 --end 1182635776 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1182630616 --calid 1182638312 --begin 1182635219 --end 1182635776 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1182630616 --calid 1182638312 --beg 1182635219 --end 1182635776 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1182630616/1182630616_*_0001.fits --time_split --obsid 1182630616 ,,,
1182803416,1182802096,1182806813,1182807736,924,P2C,0.385,139.52,,,,ch086-097,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1182803416 --begin 1182806813 --end 1182807736 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1182803416 --calid 1182802096 --begin 1182806813 --end 1182807736 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1182803416 --calid 1182802096 --beg 1182806813 --end 1182807736 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1182803416/1182803416_*_0001.fits --time_split --obsid 1182803416 ,,,
1182803416,1182802096,1182806813,1182807736,924,P2C,0.385,139.52,00:24:36.15_-19:40:04.92,11.8,,ch121-132,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1182803416 --begin 1182806813 --end 1182807736 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1182803416 --calid 1182802096 --begin 1182806813 --end 1182807736 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1182803416 --calid 1182802096 --beg 1182806813 --end 1182807736 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1182803416/1182803416_*_0001.fits --time_split --obsid 1182803416 ,,,
1194350120,1194345816,1194351493,1194355040,3548,P2E,0.973,154.24,,,,,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1194350120 --begin 1194351493 --end 1194355040 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1194350120 --calid 1194345816 --begin 1194351493 --end 1194355040 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1194350120 --calid 1194345816 --beg 1194351493 --end 1194355040 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1194350120/1194350120_*_0001.fits --time_split --obsid 1194350120 ,,,
1201592720,,1201592727,1201592960,234,P2E,0.672,184.96,,,,,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1201592720 --begin 1201592727 --end 1201592960 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1201592720 --calid  --begin 1201592727 --end 1201592960 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1201592720 --calid  --beg 1201592727 --end 1201592960 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1201592720/1201592720_*_0001.fits --time_split --obsid 1201592720 ,,,
1222697776,1222695592,1222699748,1222702432,2685,P2C,0.779,154.24,00:24:25.19_-19:38:15.07,10.89,,,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1222697776 --begin 1222699748 --end 1222702432 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1222697776 --calid 1222695592 --begin 1222699748 --end 1222702432 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1222697776 --calid 1222695592 --beg 1222699748 --end 1222702432 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1222697776/1222697776_*_0001.fits --time_split --obsid 1222697776 ,,,
1225462936,1225478264,1225462943,1225463660,718,P2C,0.445,154.24,,,,,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1225462936 --begin 1225462943 --end 1225463660 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1225462936 --calid 1225478264 --begin 1225462943 --end 1225463660 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1225462936 --calid 1225478264 --beg 1225462943 --end 1225463660 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1225462936/1225462936_*_0001.fits --time_split --obsid 1225462936 ,,,
1226062160,1226054696,1226062167,1226065366,3200,P2C,0.756,154.24,00:26:35.60_-19:55:06.86,60.02,,,,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/vcs_download.nf --obsid 1226062160 --begin 1226062167 --end 1226065366 -w . -resume,nextflow run /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/find_candidate_position.nf --obsid 1226062160 --calid 1226054696 --begin 1226062167 --end 1226065366 --fraction 0.6 --loops 2 --period 1.30614 --dm 20.798 --pointing_grid 00:26:37.30_-19:56:27.63 -resume --summed=false,observation_processing_pipeline.py  --obsid 1226062160 --calid 1226054696 --beg 1226062167 --end 1226065366 --run_type fresh_run --vcstools devel --mwa_search devel,nextflow /astro/mwavcs/nswainston/code/mwa_search/mwa_search/nextflow/candidate_TOAs.nf --fits_file /astro/mwavcs/pulsar_search/psr2_J0024-1932/1226062160/1226062160_*_0001.fits --time_split --obsid 1226062160 ,,Y (discovery obs),00:26:35.60_-19:55:06.86
